20215,Álvaro Arbeloa Coca,Álvaro Arbeloa
5256,Cristian Gabriel Rodríguez Barrotti,Cristian Rodríguez
5551,João Miranda de Souza Filho,
6384,Gabriel Fernández Arenas,Gabi
6735,Adrián López Álvarez,Adrián López
20005,Toby Alderweireld,
20669,Tiago Cardoso Mendes,Tiago
20883,José Ernesto Sosa,José Sosa
25145,Diego Ribas da Cunha,Diego
26029,Daniel Aranzubia Aguado,Dani Aranzubia
3486,Fernando Llorente Torres,Fernando Llorente
3579,Roberto Maximiliano Pereyra,Roberto Pereyra
3843,Angelo Obinze Ogbonna,Angelo Ogbonna
5541,Stephan Lichtsteiner,
6943,Andrea Barzagli,
6949,Gianluigi Buffon,
7013,Stefano Sturaro,
7173,Leonardo Bonucci,
7952,Simone Padoin,
8217,Kingsley Coman,
8294,Claudio Marchisio,
19849,Andrea Pirlo,
20004,Paul Pogba,
20666,Carlos Alberto Tevez,Carlos Tevez
26208,Marco Storari,
4320,Neymar da Silva Santos Junior,Neymar
4691,Claudio Andrés Bravo Muñoz,Claudio Bravo
10609,Jérémy Mathieu,
3063,Danilo Luiz da Silva,Danilo
5202,José Ignacio Fernández Iglesias,Nacho
5695,James David Rodríguez Rubio,James Rodríguez
6706,Francisco Casilla Cortés,Kiko Casilla
5633,Yannick Ferreira Carrasco,Yannick Carrasco
19668,Augusto Matías Fernández,Augusto Fernández
5456,Mateo Kovačić,
3951,Mario Lemina,
5244,Medhi Amine El Mouttaqi Benatia,Medhi Benatia
5497,Gonzalo Gerardo Higuaín,Gonzalo Higuaín
5689,Juan Guillermo Cuadrado Bello,Juan Cuadrado
5743,Paulo Bruno Exequiel Dybala,Paulo Dybala
6940,Kwadwo Asamoah,
6945,Alex Sandro Lobo Silva,Alex Sandro
6947,Miralem Pjanić,
6954,Giorgio Chiellini,
3471,Dejan Lovren,
3473,James Philip Milner,James Milner
3493,Emre Can,
3515,Alberto Moreno Pérez,Alberto Moreno
3531,Mohamed Salah,
3532,Jordan Brian Henderson,Jordan Henderson
3535,Roberto Firmino Barbosa de Oliveira,Roberto Firmino
3539,Simon Mignolet,
3567,Georginio Wijnaldum,
3614,Dominic Solanke,
3629,Sadio Mané,
3630,Loris Karius,
3655,Andrew Robertson,
